  Order ID  ,Customer Name,Order Date,Sale Amount ($),QTY,City,Payment Method,Delivered?,Discount %,Rating,Sales Rep
OID5091,Sara L.,May 10 2024,,16.0,Rabat,Cash,no,25.4,,Rep 08
OID2852,Lina M.,Oct 16 2024,294.51,,Cairo,Cash,0,12.8,,Rep 16
OID5918,Lina M.,Jan 24 2024,261.11,5.0,Cairo,Wallet,1,29.2,,Rep 07
OID7807,,Oct 27 2024,1349.3,13.0,Rabat,Wallet,0,,1.0,Rep 02
OID5663,,15/10/2024,137.87,4.0,,Card,no,7.7,,Rep 02
OID5555,Lina M.,2024-07-06,1187.3,16.0,,COD,1,,,Rep 10
OID3458,Lina M.,2024/08/25,1034.67,10.0,Cairo,Cash,true,,1.0,Rep 21
OID2012,Amine B.,Jan 20 2025,1963.38,15.0,Marrakech,Wallet,true,37.3,,Rep 04
OID8564,Amine B.,2024-08-01,69.97,2.0,Marrakech,COD,N,36.2,,Rep 19
OID4196,Sara L.,2024/05/18,,16.0,,COD,yes,6.6,4.0,Rep 22
OID8378,,N/A,790.11,7.0,Riyadh,Wallet,true,11.2,3.0,Rep 24
OID5091,Sara L.,May 10 2024,,16.0,Rabat,Cash,no,25.4,,Rep 08
OID3635,Sara L.,May 25 2024,318.38,10.0,,Card,true,19.6,3.0,Rep 07
OID4303,Omar R.,2024-09-18,564.92,17.0,Dubai,Cash,yes,25.9,1.0,Rep 09
OID9365,Sara L.,15/07/2024,222.39,12.0,,Cash,No,39.5,,Rep 06
OID5386,Lina M.,N/A,786.25,14.0,Rabat,Card,No,12.5,1.0,Rep 19
OID1279,Youssef K.,N/A,1459.12,17.0,Marrakech,Wallet,No,31.8,5.0,Rep 09
OID3817,Omar R.,Dec 01 2024,149.22,2.0,Cairo,Cash,Y,12.7,,Rep 01
OID6019,Omar R.,2024-05-01,,,Dubai,Wallet,yes,26.3,,Rep 24
OID8025,,2024-03-02,1271.81,16.0,Marrakech,Cash,0,35.8,,Rep 25
OID9997,Lina M.,2024/06/08,,11.0,Riyadh,Cash,yes,21.6,,Rep 10
OID8342,Omar R.,2024-07-12,344.5,7.0,,Cash,yes,,4.0,Rep 16
OID1567,Amine B.,Jul 04 2024,548.33,10.0,Cairo,Card,N,36.5,,Rep 08
OID4650,,Jun 10 2024,142.19,8.0,Riyadh,Card,no,25.8,5.0,Rep 13
OID6019,Youssef K.,2024-05-30,1148.11,,Rabat,Wallet,Yes,31.0,,Rep 14
OID2999,,28/11/2024,85110.39,12.0,Casablanca,Cash,YES,38.1,5.0,Rep 19
OID1758,Amine B.,2024/01/03,867.61,7.0,,COD,0,13.7,1.0,Rep 17
OID8022,Omar R.,23/01/2024,1481.78,13.0,Riyadh,Wallet,N,43.3,3.0,Rep 16
OID9432,Youssef K.,2024/08/04,,15.0,Riyadh,Wallet,yes,9.0,,Rep 13
OID5284,Lina M.,2024-01-20,198.84,4.0,Marrakech,Wallet,1,32.2,4.0,Rep 03
OID1526,Amine B.,Apr 24 2024,,6.0,Dubai,Wallet,0,25.3,,Rep 18
OID6034,Sara L.,13/07/2024,486.82,10.0,,Card,0,4.0,1.0,Rep 06
OID8132,Youssef K.,2024-06-12,1342.74,16.0,,Wallet,0,23.9,,Rep 26
OID4554,Omar R.,2024-06-29,,17.0,,Card,yes,15.5,,Rep 15
OID2007,,19/02/2024,,3.0,,Card,true,22.6,,Rep 19
OID1527,,2024-05-22,61.31,4.0,,COD,no,40.2,,Rep 15
OID8663,,Feb 26 2024,175.9,2.0,,Wallet,no,44.1,,Rep 07
OID4131,Amine B.,2024-11-21,606.4,7.0,,Cash,1,2.9,1.0,Rep 16
OID8452,Amine B.,N/A,1913.86,,Riyadh,COD,Y,21.0,,Rep 26
OID4394,Amine B.,2024-01-12,111.09,1.0,Riyadh,Cash,1,0.3,3.0,Rep 16
OID9522,Youssef K.,Jan 17 2024,181.94,8.0,Marrakech,Cash,No,35.9,2.0,Rep 26
OID9522,Youssef K.,Jan 17 2024,181.94,8.0,Marrakech,Cash,No,35.9,2.0,Rep 26
OID3453,Sara L.,2024/11/27,967.16,13.0,Cairo,Cash,1,35.4,1.0,Rep 27
OID7093,,11/09/2024,639.98,16.0,,COD,No,18.7,4.0,Rep 05
OID2331,Lina M.,Feb 17 2024,450.64,,Cairo,Wallet,no,14.4,5.0,Rep 17
OID6145,,2024-08-02,1566.03,,,COD,No,26.1,5.0,Rep 09
OID9671,Lina M.,2024/10/02,1570.52,16.0,Riyadh,Wallet,1,23.7,,Rep 06
OID5168,Sara L.,2024/04/22,58510.55,2.0,Riyadh,Wallet,no,33.4,2.0,Rep 07
OID4631,Youssef K.,2024-01-14,292.51,5.0,Rabat,COD,Yes,22.1,5.0,Rep 23
OID1747,Lina M.,2025-01-07,102.84,2.0,Riyadh,Wallet,Yes,4.5,3.0,Rep 13
OID8131,Youssef K.,2024-10-08,993.68,9.0,,COD,yes,36.0,1.0,Rep 15
OID5966,Amine B.,2024-11-16,136.39,3.0,Rabat,COD,No,11.2,4.0,Rep 09
OID6395,Youssef K.,2024-12-08,,1.0,Cairo,Wallet,no,,3.0,Rep 08
OID3808,,2024-01-14,1084.11,10.0,,Wallet,no,25.0,4.0,Rep 23
OID5341,,2024/02/21,884.94,17.0,Riyadh,COD,0,39.1,,Rep 05
OID4741,Sara L.,N/A,19.37,1.0,Cairo,Card,true,0.1,3.0,Rep 04
OID2525,Youssef K.,N/A,1273.2,13.0,,Card,No,27.6,2.0,Rep 14
OID6167,Youssef K.,N/A,831.12,17.0,Riyadh,Card,0,15.6,,Rep 02
OID4635,,2024/01/15,645.83,,Marrakech,Cash,Yes,14.1,,Rep 15
OID2158,Youssef K.,May 21 2024,800.04,7.0,,Cash,Y,2.6,4.0,Rep 07
OID5764,Lina M.,15/07/2024,,9.0,Dubai,Cash,true,41.0,,Rep 26
OID3731,Omar R.,2024/01/02,520.71,6.0,,COD,YES,2.6,4.0,Rep 09
OID9185,Lina M.,Feb 02 2024,336.34,7.0,Dubai,Cash,true,,5.0,Rep 17
OID3319,Lina M.,08/09/2024,,13.0,Riyadh,Card,0,,,Rep 18
OID5119,Youssef K.,2024-11-06,284.0,7.0,Marrakech,Card,YES,20.9,,Rep 16
OID7507,Omar R.,2024-12-02,325.43,6.0,Rabat,COD,1,34.7,1.0,Rep 19
OID8657,,N/A,1434.3,16.0,,COD,true,1.5,3.0,Rep 24
OID8197,Lina M.,31/01/2025,1100.63,12.0,Riyadh,COD,no,42.8,4.0,Rep 12
OID9094,Youssef K.,18/01/2025,925.53,8.0,Dubai,COD,N,22.8,,Rep 14
OID9432,Youssef K.,2024/08/04,,15.0,Riyadh,Wallet,yes,9.0,,Rep 13
OID8342,Omar R.,2024-07-12,344.5,7.0,,Cash,yes,,4.0,Rep 16
OID9256,,05/07/2024,,17.0,,COD,Y,2.1,1.0,Rep 23
OID6810,Lina M.,2024/01/25,1459.61,13.0,Marrakech,Card,No,37.9,,Rep 04
OID3473,Sara L.,2024-12-20,869.86,13.0,Riyadh,Card,Yes,40.2,,Rep 23
OID8206,Omar R.,13/05/2024,,9.0,,Wallet,no,3.9,4.0,Rep 09
OID7268,Omar R.,2024-12-22,381.69,17.0,,Card,no,31.9,4.0,Rep 16
OID7904,Youssef K.,2024-10-05,782.07,,Rabat,Card,yes,41.5,,Rep 27
OID7693,Lina M.,2024/03/18,1547.81,16.0,,Card,true,33.7,,Rep 05
OID6810,Lina M.,2024/01/25,1459.61,13.0,Marrakech,Card,No,37.9,,Rep 04
OID8064,,Mar 17 2024,128.14,1.0,Rabat,COD,no,40.0,1.0,Rep 07
OID3861,Lina M.,26/05/2024,,12.0,Rabat,Cash,1,10.9,2.0,Rep 19
OID9887,Lina M.,Jan 25 2025,1572.92,15.0,,Card,1,25.3,2.0,Rep 22
OID3121,Omar R.,2024/09/05,1454.28,13.0,Casablanca,Wallet,no,39.6,4.0,Rep 21
OID6602,Amine B.,N/A,66.44,1.0,Dubai,Cash,yes,11.4,4.0,Rep 26
OID8165,Sara L.,2024-06-10,137.43,1.0,Casablanca,Wallet,Y,5.7,2.0,Rep 07
OID8087,Sara L.,19/01/2025,115.78,2.0,Rabat,Cash,no,,2.0,Rep 11
OID8002,Sara L.,Jan 29 2025,2029.82,,Riyadh,Wallet,1,19.1,1.0,Rep 09
OID3533,Omar R.,May 30 2024,279.31,3.0,Marrakech,Card,Y,,4.0,Rep 17
OID4635,,2024/01/15,645.83,,Marrakech,Cash,Yes,14.1,,Rep 15
OID6118,Youssef K.,N/A,896.33,,Casablanca,Wallet,Yes,25.5,3.0,Rep 22
OID7268,Omar R.,2024-12-22,381.69,17.0,,Card,no,31.9,4.0,Rep 16
OID4352,,2024-04-22,865.15,9.0,,Cash,No,1.4,1.0,Rep 26
OID8726,Lina M.,2024/02/20,519.52,4.0,Cairo,COD,Yes,20.4,4.0,Rep 16
OID9923,Omar R.,2024-02-28,419.72,4.0,Cairo,Wallet,No,36.6,3.0,Rep 19
OID8025,,2024-03-02,1271.81,16.0,Marrakech,Cash,0,35.8,,Rep 25
OID7416,Lina M.,2024/05/19,692.81,8.0,,Cash,1,6.8,2.0,Rep 14
OID8536,Youssef K.,Oct 03 2024,818.78,9.0,Cairo,Wallet,1,8.3,,Rep 06
OID8606,Lina M.,2024-08-29,903.62,13.0,Marrakech,Cash,Y,18.1,4.0,Rep 26
OID6617,Amine B.,2025/01/09,57.78,3.0,,COD,yes,6.6,,Rep 25
OID4131,Amine B.,2024-11-21,606.4,7.0,,Cash,1,2.9,1.0,Rep 16
OID5451,,16/06/2024,233.02,11.0,,Wallet,true,38.9,4.0,Rep 20
OID5433,Omar R.,2024-10-07,633.75,6.0,Cairo,COD,Yes,6.6,5.0,Rep 20
OID4182,Omar R.,2024/08/09,124.12,4.0,Casablanca,Wallet,true,34.1,,Rep 14
OID6578,Youssef K.,Feb 29 2024,134.45,5.0,,COD,no,29.3,,Rep 03
OID4518,,N/A,582.37,,Marrakech,Card,yes,,4.0,Rep 22
OID6791,Youssef K.,2024-07-10,665.16,12.0,Cairo,Wallet,1,25.6,3.0,Rep 07
OID4414,,Sep 15 2024,1785.14,,,COD,0,4.8,3.0,Rep 01
OID1071,Lina M.,Dec 28 2024,291.35,3.0,Rabat,Card,true,19.9,5.0,Rep 04
OID2555,Omar R.,07/01/2025,56527.44,,Riyadh,Cash,true,23.3,4.0,Rep 05
OID5014,Omar R.,2024/07/28,1813.5,14.0,Casablanca,Cash,1,,3.0,Rep 11
OID3972,Amine B.,Jan 30 2025,659.92,8.0,,Wallet,No,35.2,3.0,Rep 13
OID3473,Sara L.,2024-12-20,869.86,13.0,Riyadh,Card,Yes,40.2,,Rep 23
OID7313,Sara L.,25/09/2024,642.73,13.0,Casablanca,COD,Yes,3.1,4.0,Rep 23
OID7314,Lina M.,Jan 27 2025,67.34,2.0,,Card,YES,16.5,5.0,Rep 25
OID5966,Amine B.,2024-11-16,136.39,3.0,Rabat,COD,No,11.2,4.0,Rep 09
OID1209,Omar R.,Jan 15 2025,55.29,1.0,Casablanca,COD,Y,40.0,1.0,Rep 16
OID8849,Omar R.,2024/11/28,678.45,17.0,Marrakech,Card,Yes,6.2,,Rep 07
OID3436,Omar R.,29/12/2024,1039.18,11.0,Dubai,COD,No,38.2,1.0,Rep 09
OID8970,,2024/03/28,833.08,13.0,Rabat,Card,1,5.0,5.0,Rep 24
OID6195,Lina M.,2024-12-13,279.33,10.0,Rabat,COD,no,,,Rep 08
OID3801,,2024/06/28,74.02,1.0,,Cash,no,2.9,5.0,Rep 02
OID4635,,2024/11/11,,1.0,Cairo,Wallet,true,4.8,1.0,Rep 19
OID8710,,2024/01/10,353.68,5.0,,Wallet,YES,37.8,3.0,Rep 21
OID3168,Omar R.,07/04/2024,55.74,1.0,,Cash,yes,20.6,,Rep 17
OID8140,Amine B.,03/02/2025,336.94,9.0,,Card,no,26.5,1.0,Rep 20
OID9793,,Apr 04 2024,1157.98,11.0,Casablanca,Wallet,0,32.9,,Rep 03
OID3676,Youssef K.,09/12/2024,415.15,,Casablanca,Cash,Y,1.4,,Rep 21
OID8384,Amine B.,2024-11-23,105.3,2.0,Rabat,Card,0,31.4,3.0,Rep 01
OID5716,Sara L.,Nov 15 2024,1233.26,10.0,Marrakech,COD,1,2.2,,Rep 07
OID9597,Sara L.,Dec 21 2024,,11.0,,Cash,N,,4.0,Rep 21
OID8543,Omar R.,N/A,602.6,12.0,Marrakech,COD,No,0.5,2.0,Rep 17
OID4880,Lina M.,Oct 22 2024,864.32,9.0,Casablanca,Card,Y,,5.0,Rep 09
OID5289,Sara L.,2024-10-08,1232.03,14.0,,Cash,1,26.0,3.0,Rep 01
OID5328,Omar R.,05/08/2024,412.02,9.0,Cairo,Card,Yes,17.6,,Rep 09
OID6703,Sara L.,N/A,689.49,14.0,Riyadh,Wallet,true,,4.0,Rep 04
OID4983,Amine B.,2024/03/14,654.58,8.0,Riyadh,Card,No,34.0,4.0,Rep 19
OID1352,,04/03/2024,2146.31,16.0,,Wallet,Y,7.5,2.0,Rep 16
OID5290,Youssef K.,2025/01/13,562.97,6.0,Casablanca,COD,Y,18.3,3.0,Rep 13
OID9617,Lina M.,2024-03-04,136.48,4.0,Casablanca,Card,Y,9.9,4.0,Rep 26
OID8333,Sara L.,Apr 18 2024,250.69,2.0,Cairo,Card,1,30.2,5.0,Rep 25
OID3248,Sara L.,Nov 29 2024,1106.86,14.0,Cairo,COD,true,34.5,,Rep 06
OID9114,,2024/12/04,324.79,6.0,Rabat,Wallet,1,35.8,3.0,Rep 14
OID3233,,Nov 30 2024,39.04,1.0,Rabat,COD,No,10.5,,Rep 26
OID7780,Lina M.,22/02/2024,751.73,8.0,Cairo,Cash,YES,1.2,1.0,Rep 18
OID5483,Amine B.,2024/01/23,1541.93,13.0,Cairo,Cash,true,15.9,5.0,Rep 02
OID1878,Omar R.,2024-11-07,131.63,3.0,,COD,true,2.8,,Rep 07
OID6080,Lina M.,2024/03/27,522.45,14.0,Cairo,Card,no,3.4,3.0,Rep 07
OID3168,Omar R.,07/04/2024,55.74,1.0,,Cash,yes,20.6,,Rep 17
OID7410,,31/10/2024,1821.2,14.0,,Wallet,No,8.2,,Rep 12
OID8484,Amine B.,2024-03-09,814.96,13.0,Cairo,COD,no,8.0,2.0,Rep 04
OID4044,Omar R.,27/10/2024,,,Marrakech,Wallet,No,9.6,2.0,Rep 10
OID2647,Omar R.,2024-09-21,,13.0,Cairo,Card,Yes,,,Rep 21
OID4148,Lina M.,06/09/2024,949.83,12.0,Riyadh,Wallet,true,1.8,4.0,Rep 26
OID9945,,Oct 03 2024,97105.06,5.0,Cairo,Wallet,Y,21.3,2.0,Rep 04
OID5472,Youssef K.,2024-02-28,,3.0,Marrakech,Wallet,N,35.4,4.0,Rep 10
OID3464,Omar R.,Aug 04 2024,350.54,10.0,Riyadh,Wallet,0,29.7,,Rep 12
OID4871,Amine B.,13/01/2025,,11.0,Cairo,Wallet,0,4.3,,Rep 25
OID3100,,Mar 01 2024,527.12,4.0,Riyadh,Wallet,Yes,28.5,,Rep 04
OID8206,Omar R.,13/05/2024,,9.0,,Wallet,no,3.9,4.0,Rep 09
OID3609,Youssef K.,09/02/2024,171.25,4.0,Rabat,Card,YES,29.7,3.0,Rep 03
OID7177,Youssef K.,2024-04-29,145.15,8.0,,COD,1,4.6,5.0,Rep 11
OID1518,Youssef K.,2024/06/13,599.06,5.0,Dubai,Wallet,Y,6.9,1.0,Rep 03
OID4628,,N/A,420.5,15.0,Cairo,COD,true,29.1,3.0,Rep 05
OID8064,,Mar 17 2024,128.14,1.0,Rabat,COD,no,40.0,1.0,Rep 07
OID5483,Amine B.,2024/01/23,1541.93,13.0,Cairo,Cash,true,15.9,5.0,Rep 02
OID5296,Sara L.,18/05/2024,,,,Wallet,0,16.8,3.0,Rep 22
OID2227,Lina M.,2024-03-23,711.76,6.0,Riyadh,Wallet,1,7.9,1.0,Rep 11
OID4531,,13/02/2024,632.28,,Rabat,COD,no,38.5,,Rep 09
OID7567,Sara L.,Dec 16 2024,623.36,14.0,Casablanca,COD,N,16.1,,Rep 20
OID3731,Omar R.,2024/01/02,520.71,6.0,,COD,YES,2.6,4.0,Rep 09
OID2424,,18/06/2024,311.72,9.0,,Cash,yes,22.4,5.0,Rep 27
OID8085,Amine B.,2024/03/21,160.45,6.0,Casablanca,Cash,N,31.0,,Rep 22
OID3091,Sara L.,2024/03/22,170.87,4.0,Rabat,Wallet,N,1.7,,Rep 08
OID5716,Sara L.,Nov 15 2024,1233.26,10.0,Marrakech,COD,1,2.2,,Rep 07
OID2377,Lina M.,N/A,,7.0,Riyadh,COD,YES,14.4,2.0,Rep 19
OID3995,Amine B.,2024/10/29,185.0,8.0,Riyadh,Wallet,Y,42.9,1.0,Rep 23
OID8227,,2024-02-05,636.08,10.0,Casablanca,Wallet,YES,25.4,,Rep 19
OID8128,Amine B.,01/01/2024,438.89,14.0,,Cash,0,23.5,2.0,Rep 09
OID6263,Sara L.,01/10/2024,995.74,9.0,,Card,no,28.7,1.0,Rep 22
OID1376,Amine B.,14/04/2024,945.12,17.0,,COD,N,39.3,,Rep 22
OID8063,Lina M.,Feb 28 2024,367.33,12.0,,COD,1,11.6,2.0,Rep 03
OID7177,Youssef K.,2024-04-29,145.15,8.0,,COD,1,4.6,5.0,Rep 11
OID7498,Amine B.,2024-03-09,592.01,7.0,,COD,1,29.3,2.0,Rep 21
OID8579,Sara L.,22/12/2024,333.96,6.0,Rabat,COD,YES,9.4,5.0,Rep 21
OID6195,Lina M.,2024-12-13,279.33,10.0,Rabat,COD,no,,,Rep 08
OID6145,,2024-08-02,1566.03,,,COD,No,26.1,5.0,Rep 09
OID3817,Omar R.,Dec 01 2024,149.22,2.0,Cairo,Cash,Y,12.7,,Rep 01
OID3611,Sara L.,2024-09-20,627.55,8.0,Rabat,Cash,Y,43.1,2.0,Rep 08
OID7131,Lina M.,2024/12/05,1171.27,11.0,Dubai,Wallet,yes,1.6,3.0,Rep 07
OID6247,Sara L.,2024-01-25,415.08,8.0,Casablanca,Card,1,29.0,1.0,Rep 06
OID3406,,Apr 03 2024,348.08,10.0,Dubai,Cash,true,27.1,5.0,Rep 08
OID7653,Amine B.,2024/08/02,286.09,13.0,Rabat,Card,1,9.6,4.0,Rep 02
OID9242,Omar R.,2024-02-13,948.54,8.0,Dubai,Wallet,N,44.8,,Rep 12
OID4059,Omar R.,Jul 31 2024,2280.24,17.0,,Wallet,YES,4.6,5.0,Rep 16
OID1830,Youssef K.,2024/09/18,403.75,,Rabat,COD,YES,37.3,4.0,Rep 14
OID3177,Omar R.,N/A,1335.34,10.0,Riyadh,Wallet,Y,27.7,,Rep 19
OID3676,Youssef K.,09/12/2024,415.15,,Casablanca,Cash,Y,1.4,,Rep 21
OID9556,Omar R.,25/02/2024,221.14,5.0,Casablanca,Cash,yes,41.2,,Rep 24
OID9047,Omar R.,2024-07-24,522.08,16.0,Marrakech,Card,Yes,9.6,,Rep 26
OID3325,,2024-01-02,,13.0,Dubai,COD,Yes,,,Rep 04
OID8766,,Oct 20 2024,1456.51,,Cairo,Card,Yes,40.1,2.0,Rep 05
OID6128,Amine B.,2024/06/30,605.38,12.0,Marrakech,COD,YES,1.1,,Rep 26
OID3432,Lina M.,2024-03-11,1871.69,17.0,Marrakech,Wallet,No,26.7,2.0,Rep 16
OID4131,Sara L.,2024/05/01,508.87,14.0,,Card,no,21.1,1.0,Rep 25
OID8784,Sara L.,2024/06/27,409.82,8.0,Rabat,COD,0,27.3,5.0,Rep 26
OID5630,Amine B.,2024-02-11,,9.0,Casablanca,Card,YES,,1.0,Rep 19
OID5296,Sara L.,18/05/2024,,,,Wallet,0,16.8,3.0,Rep 22
OID5898,Lina M.,2024-07-23,239.57,2.0,Rabat,Wallet,0,33.5,2.0,Rep 25
OID2505,Sara L.,Jan 27 2024,130.45,1.0,Casablanca,Wallet,YES,27.7,2.0,Rep 02
OID1352,,04/03/2024,2146.31,16.0,,Wallet,Y,7.5,2.0,Rep 16
OID4461,,Dec 12 2024,584.41,12.0,,COD,No,7.7,2.0,Rep 14
OID8384,Amine B.,2024-11-23,105.3,2.0,Rabat,Card,0,31.4,3.0,Rep 01
